,Erecall,Eprecision,Efmeasure,ePMI,eIFA,ePopt,cErecall,cEprecision,cEfmeasure,cPMI,cIFA,cPopt,recall,precision,accuracy,F1,Pf,G1,AUC,MCC
0,0.968647943,0.378702758,0.544519919,0.976720984,32,0.986185941,0.968647943,0.378702758,0.544519919,0.976720984,32,0.986185941,0.989737991,0.381827251,0.381827251,0.552641078,1,0,0.5,0.612462152
1,0.987712869,0.386405802,0.555494938,0.985866312,870,0.989151692,0.987712869,0.386405802,0.555494938,0.985866312,870,0.989151692,0.992394611,0.385651343,0.385651343,0.556635469,1,0,0.5,0.625347127
2,0.991180899,0.387357095,0.557026292,0.989025607,23,0.990167978,0.991180899,0.387357095,0.557026292,0.989025607,23,0.990167978,0.994986922,0.386482667,0.386482667,0.557500899,1,0,0.5,0.610454152
3,0.991163793,0.386503067,0.556140033,0.989275025,494,0.990588346,0.991163793,0.386503067,0.556140033,0.989275025,494,0.990588346,0.956047,0.385734475,0.385734475,0.556722059,1,0,0.5,0.615845126
4,0.980933596,0.379322034,0.547087942,0.98104423,67,0.986158326,0.980933596,0.379322034,0.547087942,0.98104423,67,0.986158326,0.997808459,0.379479913,0.380247735,0.549846024,0.997187249,0.005609689,0.500310605,0.612548235
5,0.985425277,0.626469368,0.765979033,0.601180579,17,0.986217556,0.985425277,0.626469368,0.765979033,0.601180579,17,0.986217556,0.99586687,0.62024116,0.765400283,0.764401403,0.377152853,0.7663773,0.809357009,0.617432371
6,0.979250476,0.391517819,0.559385583,0.982125042,380,0.9877586,0.979250476,0.391517819,0.559385583,0.982125042,380,0.9877586,0.992161262,0.392634467,0.392634467,0.56387297,1,0,0.5,0.612599251
7,0.991351351,0.385391275,0.555017552,0.989108746,23,0.990390217,0.991351351,0.385391275,0.555017552,0.989108746,23,0.990390217,0.956023,0.384487489,0.384487489,0.555422121,1,0,0.5,0.613548521
8,0.972626548,0.380276905,0.546775769,0.978799468,126,0.986794021,0.972626548,0.380276905,0.546775769,0.978799468,126,0.986794021,0.997808459,0.382658575,0.382658575,0.553511304,1,0,0.5,0.620013413
9,0.991394148,0.387291982,0.556992627,0.989191886,39,0.989895825,0.991394148,0.387291982,0.556992627,0.989191886,39,0.989895825,0.99586687,0.386399534,0.386399534,0.557414403,1,0,0.5,0.613513633
10,0.972537053,0.625894235,0.761628403,0.592700366,12,0.983092375,0.972537053,0.625894235,0.761628403,0.592700366,12,0.983092375,0.995422842,0.6199267,0.765483415,0.764031786,0.376293509,0.766895733,0.809564667,0.617272981
11,0.986587511,0.378394333,0.546995002,0.985866312,157,0.988567789,0.986587511,0.378394333,0.546995002,0.985866312,157,0.988567789,1,0.378086291,0.378086291,0.548712071,1,0,0.5,0.601956951
12,0.94907909,0.376774194,0.539408867,0.966494845,7,0.983118067,0.94907909,0.376774194,0.539408867,0.966494845,7,0.983118067,1,0.383656164,0.383656164,0.554554194,1,0,0.5,0.612356847
13,0.982601131,0.381620069,0.549735353,0.984286664,178,0.98860813,0.982601131,0.381620069,0.549735353,0.984286664,178,0.98860813,1,0.382242913,0.382242913,0.553076322,1,0,0.5,0.611645654
