,Erecall,Eprecision,Efmeasure,ePMI,eIFA,ePopt,cErecall,cEprecision,cEfmeasure,cPMI,cIFA,cPopt,recall,precision,accuracy,F1,Pf,G1,AUC,MCC
0,0.979534683,0.628907331,0.766004043,0.601097439,12,0.980727492,0.979534683,0.628907331,0.766004043,0.601097439,12,0.980727492,0.990090478,0.621669146,0.763654502,0.763772331,0.378638148,0.763540369,0.805726165,0.611599547
1,0.957997824,0.628677521,0.759161852,0.582141669,19,0.977544751,0.957997824,0.628677521,0.759161852,0.582141669,19,0.977544751,0.99085963,0.624725576,0.769141242,0.766304805,0.367904224,0.771824271,0.811477703,0.619400905
2,0.978360656,0.61635913,0.756272704,0.603757898,24,0.9849239,0.978360656,0.61635913,0.756272704,0.603757898,24,0.9849239,0.996284153,0.610174029,0.756505113,0.75682856,0.390662731,0.756184561,0.802810711,0.606033142
3,0.976242371,0.621737923,0.759667571,0.598935816,13,0.983041862,0.976242371,0.621737923,0.759667571,0.598935816,13,0.983041862,0.994986922,0.616641902,0.762158118,0.761404387,0.381400349,0.762894998,0.806793286,0.612627539
4,0.97542044,0.630610538,0.766000677,0.596441636,13,0.984876623,0.97542044,0.630610538,0.766000677,0.596441636,13,0.984876623,0.996334627,0.625812568,0.768891845,0.768757278,0.37383304,0.769024609,0.811250793,0.622327128
5,0.987052886,0.616924976,0.759284267,0.606168939,12,0.985724112,0.987052886,0.616924976,0.759284267,0.606168939,12,0.985724112,0.995172262,0.60970691,0.756837642,0.756148395,0.388517131,0.757512647,0.803327566,0.605784404
6,0.944530387,0.63056949,0.7562594,0.563518457,25,0.958243862,0.944530387,0.63056949,0.7562594,0.563518457,25,0.958243862,0.971491713,0.623723042,0.768808712,0.7596993,0.353411514,0.776420546,0.809040099,0.607868049
7,0.972409298,0.621149042,0.758065882,0.599102095,17,0.978672963,0.972409298,0.621149042,0.758065882,0.599102095,17,0.978672963,0.989572018,0.615790185,0.759747277,0.759166667,0.382709399,0.760305826,0.803431309,0.60614463
8,0.986921098,0.629685363,0.76883247,0.607748587,23,0.985733669,0.986921098,0.629685363,0.76883247,0.607748587,23,0.985733669,0.995283019,0.624092498,0.765732812,0.767145926,0.379633401,0.76432456,0.807824809,0.617472367
9,0.949126638,0.624389543,0.753249004,0.578816096,22,0.975850373,0.949126638,0.624389543,0.753249004,0.578816096,22,0.975850373,0.989737991,0.620958904,0.766065342,0.763131313,0.371459256,0.768830041,0.809139367,0.614638767
10,0.974576271,0.620589456,0.758305858,0.600848021,15,0.981151385,0.974576271,0.620589456,0.758305858,0.600848021,15,0.981151385,0.992394611,0.614504844,0.758915953,0.759016121,0.385754679,0.75881812,0.803319966,0.606765544
11,0.968395815,0.619751709,0.755805052,0.596025939,15,0.982336094,0.968395815,0.619751709,0.755805052,0.596025939,15,0.982336094,0.994986922,0.616059379,0.761576191,0.76096016,0.382341083,0.762179184,0.80632292,0.611862392
12,0.99547121,0.387183358,0.557521589,0.99118723,23,0.991307818,0.99547121,0.387183358,0.557521589,0.99118723,16,0.991307818,0.956047,0.614579,0.385485078,0.556462258,0.362458,0.746224,0.800026,0.621453
13,0.969808862,0.622646772,0.758386412,0.596192218,14,0.983499031,0.969808862,0.622646772,0.758386412,0.596192218,14,0.983499031,0.995873154,0.61725902,0.762074985,0.762134309,0.382895623,0.762016421,0.806488765,0.613053502
14,0.979901646,0.635556788,0.77102961,0.599517792,16,0.986418024,0.979901646,0.635556788,0.77102961,0.599517792,16,0.986418024,0.996792816,0.629149798,0.770305096,0.771407297,0.373775843,0.769204206,0.811508486,0.62445799
15,0.965286762,0.629410938,0.761977704,0.591370136,36,0.981823158,0.965286762,0.629410938,0.761977704,0.591370136,36,0.981823158,0.994394135,0.62501694,0.767811123,0.767579263,0.374374239,0.768038206,0.810009948,0.619722648
